freq (GHz)   S (cm-1/mol/cm^2)  E_low (cm-1) 
   179.375073  2.95379e-25     1455.533 
   179.560954  2.94360e-23      269.265 
   180.045278  5.06616e-23      204.139 
   180.805043  6.12321e-25     1265.077 
   182.705890  1.10683e-22       64.627 
   183.582710  2.21248e-23      380.950 
   183.691810  2.28707e-25     1495.686 
   183.768345  6.70933e-27     2301.839 
   184.969800  2.36037e-22      138.227 
   185.278600  2.29498e-23       44.115 
   186.384957  7.71399e-26     1745.464 
   187.055407  1.42685e-23      471.592 
   187.337936  1.00249e-23      520.643 
   187.370330  3.63730e-23      321.458 
   187.432931  8.82631e-25     1228.366 
   187.446750  1.45874e-23      511.989 
   187.869022  5.82880e-29     3339.020 
   188.654973  1.22062e-22       29.185 
   188.880553  2.35385e-26     2014.370 
   189.575300  2.23244e-24     1020.434 
   189.666557  2.66182e-26     2014.100 
   190.148650  3.63479e-23       94.435 
   191.020890  1.00549e-23      662.398 
   191.067230  8.52078e-24      662.363 
   191.173614  6.50248e-27     2302.358 
   192.236180  2.25050e-23      465.180 
   192.651020  5.34539e-23        2.321 
   193.258901  1.62847e-27     2609.379 
   193.401227  3.10298e-28     2991.188 
   193.609490  1.97324e-22       22.727 
   194.491750  4.44098e-24      832.047 
   195.080440  4.05489e-23      164.140 
   195.130778  3.69896e-28     2935.380 
   195.277926  4.02327e-27     1978.314 
   195.320700  2.90054e-22      172.676 
   195.326350  9.54947e-26     1745.452 
   196.783317  7.62921e-29     3280.305 
   197.142180  2.95175e-22      144.398 
   197.585307  1.68066e-23      536.946 
   197.709450  2.07481e-24     1021.012 
   198.847860  1.23504e-23      635.281 
   199.071872  1.50376e-27     2662.284 
   199.415876  3.66083e-23      253.243 
   200.287530  2.88855e-22      203.463 
   200.726688  8.71725e-25     1229.226 
   200.809180  1.63561e-22       84.118 
   202.511434  3.15050e-25     1495.937 
   203.391550  2.80724e-22       41.953 
   203.540640  3.30050e-25     1456.654 
   203.570150  2.82214e-23      361.720 
   204.121452  7.78716e-27     2003.168 
   204.246760  3.01356e-22      118.685 
   204.384300  2.15764e-23       38.368 
   204.996848  6.63559e-27     2352.361 
   205.300570  1.54518e-22       41.953 
   206.149588  1.12844e-25     1703.257 
   206.786939  9.13018e-25     1265.607 
   207.421380  1.89836e-23      489.557 
   208.302800  6.03086e-24      831.727 
   208.309385  5.41726e-29     3399.573 
   208.550003  3.48963e-26     1968.994 
   208.700320  7.01907e-23        3.697 
   209.874370  1.33039e-24      952.987 
   209.936050  3.99190e-23       85.465 
   210.738001  9.76966e-27     2253.820 
   210.906476  2.65754e-26     2061.472 
   211.053100  1.12922e-23      636.731 
   211.104704  3.82190e-26     1493.233 
   212.709071  2.47959e-27     2557.685 
   213.068400  2.92940e-22      236.696 
   213.703000  5.54089e-24      862.648 
   214.084926  2.91930e-28     3048.620 
   214.451890  5.98383e-24      803.218 
   214.458331  5.70794e-28     2880.540 
   214.689380  3.04986e-22       95.588 
   214.728330  4.72041e-23      151.971 
   215.094540  2.30611e-24      229.521 
   215.980524  1.19283e-28     3222.327 
   216.643300  2.75981e-22      165.450 
   217.149011  1.39855e-25     1430.104 
   217.633349  2.83974e-24      988.991 
   217.677148  9.72925e-26     1789.667 
   219.275976  4.42669e-23      237.864 
   220.072634  1.43311e-27     2716.584 
   220.102680  2.60303e-24     1054.478 
   220.597140  1.21110e-24     1194.017 
   220.618500  2.34088e-25     1075.500 
   221.900105  5.51670e-29     3002.109 
   221.965210  3.16504e-22       34.550 
   222.869134  2.09016e-24      443.365 
   223.116329  3.18698e-25     1536.993 
   223.344614  4.65350e-25     1418.263 
   223.434470  3.50412e-23      343.137 
   223.883569  1.82087e-23       33.247 
   224.264811  1.18326e-22      136.917 
   224.473434  9.07777e-25      725.448 
   225.153702  1.88356e-22       57.117 
   225.874607  1.61428e-25     1661.689 
   226.152812  6.39704e-27     2403.522 
   226.300027  3.02120e-22       75.150 
   226.508292  1.71822e-23      588.067 
   227.335798  2.41035e-23      467.770 
   228.184940  5.06267e-26     1924.255 
   229.347628  4.18484e-23       77.149 
   229.749739  1.13967e-23      718.486 
   230.272524  1.43741e-26     2205.917 
   230.954380  3.52679e-28     2620.223 
   230.965245  1.46177e-23      611.744 
   231.311264  5.81941e-28     2508.883 
   232.133733  3.69896e-27     2506.626 
   232.756207  2.60423e-26     2109.487 
   233.345490  2.51177e-24     1089.211 
   233.400921  9.85551e-25     1303.484 
   233.764429  8.63335e-28     2826.332 
   234.187053  3.01494e-22      272.311 
   234.353010  7.88459e-24      775.034 
   234.421586  5.33555e-23      140.444 
   234.868565  2.68893e-28     3106.685 
   235.151720  9.07568e-23        5.382 
   235.160067  1.82928e-28     3164.978 
   236.216685  2.22833e-22       82.937 
   237.068870  2.89121e-22       57.398 
   237.501904  3.80434e-24      957.613 
   238.166382  4.09053e-24      105.299 
   238.830779  9.57148e-26     1834.529 
   238.975927  2.22782e-28     2733.779 
   238.992532  5.21290e-23      223.132 
   239.832816  3.81750e-24       84.118 
   240.418919  1.64846e-24     1159.451 
   240.942791  2.05863e-22      105.299 
   241.044660  2.89387e-24      885.167 
   241.079842  1.33653e-27     2771.521 
   241.311107  1.00573e-27     2399.739 
   241.615798  1.16971e-22        8.336 
   242.113195  2.96128e-28     2641.336 
   242.997814  4.17810e-24      128.811 
   243.087647  1.27991e-23       28.776 
   243.105322  6.43249e-25     1380.512 
   243.245432  4.25186e-23      325.199 
   243.687280  1.08462e-28     2882.408 
   244.254218  4.67821e-22       57.117 
   245.339229  9.27640e-23      235.619 
   245.561623  2.26454e-25     1620.761 
   245.563423  2.62833e-22       42.347 
   247.169767  2.99488e-23      446.629 
   247.499706  3.25671e-25     1578.690 
   247.645864  6.05591e-27     2455.323 
   247.786613  7.20907e-26     1880.155 
   248.057401  2.22474e-22       74.663 
   248.116273  5.06733e-27     2058.814 
   248.436935  3.27400e-24       65.264 
   248.453932  7.83934e-27     1960.228 
   248.830824  4.18581e-23       69.471 
   248.995115  1.55231e-23      641.914 
   249.778264  2.07673e-26     2158.651 
   250.816786  1.85387e-23      587.402 
   250.987554  9.60460e-25     1342.030 
   251.199675  4.72041e-22       48.738 
   251.210586  2.21809e-22       29.988 
   251.533783  5.42100e-27     2456.202 
   252.563891  5.95771e-23      360.710 
   253.049828  1.28375e-27     2772.756 
   253.753448  4.15508e-24      154.658 
   253.935885  3.31192e-23      512.173 
   253.956567  5.84897e-23      129.563 
   254.078872  2.48817e-26     2158.144 
   254.144870  1.44904e-28     2849.563 
   254.194874  1.01878e-23      747.494 
   254.280536  1.66525e-22       20.294 
   254.283319  3.17088e-22      194.982 
   254.322575  2.75918e-28     3108.260 
   255.553303  9.69347e-23       13.226 
   255.595335  6.00177e-24      926.391 
   255.690729  2.43041e-28     3165.384 
   255.818414  1.63862e-23      689.988 
   255.958044  5.43975e-23       10.659 
   256.019083  9.83964e-28     2556.565 
   256.073341  3.38672e-27     2159.634 
   256.246945  1.34580e-22       16.395 
   257.099966  2.00207e-22       24.671 
   257.318869  5.00241e-24      926.879 
   258.311195  1.25829e-26     1863.859 
   258.388712  2.96401e-22      360.516 
   258.666966  5.99624e-23      209.045 
   258.942199  2.57679e-22       35.478 
   259.599444  3.32950e-22      319.048 
   260.194085  2.20384e-24     1125.527 
   260.269309  5.39361e-24      820.137 
   261.062783  7.27410e-24      894.125 
   261.091176  5.91942e-24      260.960 
   261.345528  4.93832e-26     1564.215 
   261.930398  9.37733e-26     1880.033 
   262.108710  7.16934e-26     1478.439 
   262.180819  1.81000e-27     2292.773 
   262.256905  3.08517e-22       48.801 
   262.285767  1.22540e-27     2827.096 
   262.333966  6.07127e-24       24.942 
   262.361603  4.25676e-27     2076.567 
   262.524936  2.55611e-24      263.555 
   262.824699  8.73533e-25     1343.403 
   262.969728  5.05102e-23      307.907 
   263.216458  1.24074e-23      698.521 
   263.543949  3.12521e-22      310.258 
   263.897866  6.34277e-24      226.817 
   264.165960  2.43826e-24       48.738 
   265.212068  3.12449e-25     1580.472 
   265.461471  5.44727e-24      297.418 
   265.481968  2.68522e-22      404.456 
   265.608326  1.16273e-23      777.236 
   266.943323  3.64989e-23      426.133 
   267.192863  3.74179e-25     1346.430 
   267.334762  3.14253e-25     1621.044 
   267.356287  1.00967e-25     1836.692 
   267.428322  8.74137e-24      757.922 
   267.537450  3.53329e-22       64.627 
   267.719836  3.78163e-22      280.123 
   268.168334  3.95348e-23       62.438 
   268.793684  3.49284e-26     1652.242 
   268.937035  5.61797e-27     2507.764 
   269.256261  2.95243e-26     2112.021 
   269.762359  2.88323e-24     1124.545 
   269.786419  4.06330e-24      182.843 
   269.821265  2.53793e-26     1903.831 
   270.224661  3.23280e-25     1136.816 
   270.605508  2.30929e-23      563.704 
   270.910101  7.82311e-27     2406.411 
   271.121906  2.31889e-27     2262.701 
   271.529015  1.79052e-22       15.614 
   271.685910  4.39926e-25     1063.898 
   271.726174  3.78250e-24      484.919 
   272.248655  1.07048e-25     1394.899 
   272.315263  1.87966e-27     2719.813 
   273.462668  6.22271e-23      119.325 
   273.468668  4.09996e-28     3052.172 
   273.752961  2.55376e-22       94.581 
   273.982630  1.29413e-23      720.598 
   274.075220  1.39181e-24      776.954 
   274.366740  8.12231e-29     3403.432 
   274.521583  4.45020e-24      437.827 
   274.525458  6.59142e-24      194.982 
   275.185090  4.02049e-26     1578.715 
   275.240182  3.92536e-22       82.937 
   275.301068  9.56708e-29     2967.588 
   275.375691  2.28812e-24      490.296 
   276.254576  4.98057e-24      336.198 
   276.301239  1.76840e-24      716.933 
   276.405584  2.35277e-26     2207.443 
   276.558362  3.22092e-24      534.311 
   276.640342  2.16262e-28     3224.718 
   276.861074  2.42314e-25     1212.002 
   276.992840  2.58392e-24     1160.602 
   277.085960  6.46963e-24      896.788 
   277.626232  2.19978e-28     2764.846 
   278.250970  6.74185e-23      195.602 
   278.858186  2.08343e-26     1769.689 
   279.766581  1.10887e-24      839.259 
   279.924865  2.89921e-24     1092.245 
   280.807280  4.30407e-22      243.803 
   280.946708  1.01223e-24     1381.200 
   281.363528  2.48359e-25     1148.165 
   281.402687  9.77866e-25      785.259 
   281.688980  2.47845e-22      450.799 
   281.762600  6.61575e-22       65.264 
   282.036580  1.38382e-22       10.886 
   282.292800  2.47388e-22      128.811 
   282.326547  6.09789e-25      993.232 
   282.504368  1.16837e-24     1306.935 
   282.636240  5.88680e-23      291.259 
   282.826822  8.87114e-26     1926.187 
   283.292207  2.51988e-26     1742.534 
   283.440925  1.10453e-27     2883.307 
   283.464600  6.92435e-22       74.663 
   284.827424  4.24599e-25     1540.823 
   285.743550  4.26363e-22      103.712 
   285.768270  5.19732e-24      393.023 
   286.416320  2.10416e-22      163.123 
   286.651460  4.37098e-23      406.281 
   286.769332  1.45740e-24       34.550 
   286.895166  1.39373e-25     1793.868 
   287.413760  2.26297e-24      659.183 
   287.485440  3.47200e-23       56.046 
   288.117047  2.75346e-24      586.012 
   288.519960  3.85815e-22      103.712 
   288.707541  4.13885e-26     2066.028 
   290.263547  1.11322e-26     2357.256 
   290.338601  2.82930e-23      540.651 
   290.409897  3.92355e-24      213.369 
   290.495308  1.84450e-25     1289.468 
   290.756676  5.14730e-27     2560.844 
   291.561460  2.71568e-27     2667.503 
   292.120620  1.60723e-27     2368.027 
   292.360422  8.92852e-25      903.858 
   292.598951  6.01145e-28     2996.715 
   292.670895  4.53398e-24      377.306 
   292.851424  1.63185e-25     1313.577 
   292.882585  6.41031e-23      109.730 
   293.373153  1.20859e-28     3344.836 
   293.386290  6.48006e-24      165.450 
   293.608971  3.12521e-25     1664.033 
   293.717793  1.61838e-23      694.346 
   294.987272  3.33795e-27     2187.969 
