freq (GHz)   S (cm-1/mol/cm^2)  E_low (cm-1) 
   541.965795  7.00131e-21     1197.328 
   545.346798  2.57087e-20      926.199 
   548.742088  9.54947e-20      652.721 
   549.354728  6.68466e-21     1215.406 
   552.782677  2.45346e-20      944.389 
   556.225121  9.10708e-20      671.025 
   556.737924  6.36912e-21     1233.730 
   560.212819  2.33657e-20      962.828 
   563.702416  8.66921e-20      689.578 
   564.115302  6.06009e-21     1252.301 
   567.637142  2.22167e-20      981.515 
   571.173893  8.23719e-20      708.381 
   571.486785  5.75545e-21     1271.118 
   575.055568  2.10853e-20     1000.449 
   578.639472  7.81411e-20      727.434 
   578.852291  5.45606e-21     1290.181 
   582.468017  1.99793e-20     1019.631 
   586.099075  7.39911e-20      746.735 
   586.211742  5.16392e-21     1309.489 
   589.874410  1.89008e-20     1039.060 
   593.552620  6.99486e-20      766.285 
   593.565058  4.87954e-21     1329.043 
   597.274667  1.78476e-20     1058.736 
