freq (GHz)   S (cm-1/mol/cm^2)  E_low (cm-1) 
   533.277763  9.51874e-20      634.244 
   533.974106  6.92276e-21     1188.939 
   537.257116  2.49620e-20      921.627 
   540.553794  9.10079e-20      652.032 
   541.154602  6.61423e-21     1206.750 
   544.482573  2.38330e-20      939.548 
   547.824409  8.68519e-20      670.063 
   548.329609  6.30782e-21     1224.801 
   551.702540  2.27185e-20      957.710 
   555.089534  8.27331e-20      688.337 
   555.499051  6.00592e-21     1243.091 
   558.916942  2.16212e-20      976.112 
   562.349092  7.86827e-20      706.852 
   562.662853  5.70925e-21     1261.621 
   566.125703  2.05390e-20      994.756 
   569.603010  7.47101e-20      725.610 
   569.820941  5.41726e-21     1280.389 
   573.328749  1.94796e-20     1013.640 
   576.851213  7.08238e-20      744.610 
   576.973239  5.13309e-21     1299.396 
   580.526005  1.84450e-20     1032.764 
   584.093624  6.70161e-20      763.852 
   584.119672  4.85489e-21     1318.642 
   587.717395  1.74373e-20     1052.128 
   591.260165  4.58437e-21     1338.126 
   591.330170  6.33256e-20      783.335 
   594.902844  1.64581e-20     1071.732 
   598.394643  4.32195e-21     1357.849 
   598.560774  5.97282e-20      803.060 
