freq (GHz)   S (cm-1/mol/cm^2)  E_low (cm-1) 
   184.532956  1.24618e-23      469.803 
   186.929303  5.17821e-28     2412.774 
   187.294432  4.96454e-23        2.260 
   187.475166  2.30345e-22      137.783 
   187.722006  6.74651e-28     2803.877 
   188.366530  1.19146e-22       64.256 
   188.699491  1.00758e-26     1899.778 
   189.123890  2.72194e-22      144.037 
   189.392341  2.70632e-22      172.252 
   189.431728  2.96606e-27     2486.633 
   189.948118  1.90099e-24      397.107 
   190.127587  6.40294e-24      767.161 
   190.530065  7.99980e-28     2750.071 
   191.013390  1.90537e-22       22.662 
   191.195796  1.18735e-26     2188.254 
   192.197040  3.43779e-27     2435.982 
   192.254771  1.88443e-23       37.795 
   193.268180  4.33590e-26     1908.788 
   193.659554  1.34054e-26     2140.756 
   194.416645  3.38672e-23       84.417 
   194.812060  2.75981e-22      118.366 
   194.919812  4.73892e-26     1864.444 
   195.029536  1.43377e-25     1648.285 
   195.742135  3.89206e-23      150.305 
   195.979135  1.51733e-25     1607.093 
   196.837705  4.39419e-25     1368.747 
   196.854461  3.55205e-23      235.435 
   197.044300  2.73892e-22      202.948 
   197.116067  6.27595e-27     1875.282 
   197.359669  9.14701e-25      665.259 
   197.494742  1.14942e-24     1149.446 
   197.555307  2.73955e-23      339.802 
   197.947066  2.70881e-24      949.227 
   198.018213  1.83814e-23      463.386 
   198.191384  5.73825e-24      768.125 
   198.215644  4.36495e-25     1406.785 
   198.215965  1.08838e-23      606.169 
   198.262642  6.13168e-24      796.737 
   198.348540  6.15856e-23      202.904 
   198.602799  1.17052e-24     1184.337 
   201.376484  1.44537e-22       41.754 
   201.418731  2.67103e-25     1001.192 
   201.618164  5.03825e-26     1404.636 
   203.225140  6.54756e-23        3.637 
   203.504212  1.59103e-22       83.781 
   204.136230  2.81955e-22       41.754 
   204.525179  2.78406e-22       95.294 
   206.987360  3.07524e-24      980.959 
   207.912875  2.63742e-28     3026.970 
   208.480259  6.45326e-28     2859.334 
   209.903353  1.22738e-27     2697.210 
   210.392993  2.88257e-27     2538.957 
   210.817586  1.83476e-23      534.235 
   211.418822  4.59811e-23      319.551 
   211.677583  5.18536e-27     2386.268 
   211.762762  1.60835e-23       32.683 
   212.385689  1.21893e-23      658.701 
   212.524882  1.17403e-26     2237.436 
   212.981200  2.82605e-22      236.058 
   213.187321  1.89225e-24      882.798 
   213.237891  1.98829e-26     2094.197 
   213.807333  3.59815e-23       76.115 
   214.302297  1.96101e-25     1343.319 
   214.567419  4.34490e-26     1954.822 
   214.585642  6.90843e-26     1821.047 
   215.468142  4.47280e-23      138.796 
   215.721172  2.17410e-25     1566.865 
   215.999729  2.75727e-22       74.869 
   216.576800  8.59764e-28     2392.043 
   216.593475  4.26363e-23      220.727 
   216.643740  6.18556e-25     1331.693 
   217.351008  1.58847e-24     1115.572 
   217.412917  3.39687e-23      321.892 
   217.430481  1.47224e-25     1691.162 
   217.839319  3.67434e-24      918.539 
   217.902357  2.33980e-23      442.278 
   218.101233  7.63272e-24      740.626 
   218.129232  1.41768e-23      581.863 
   218.896704  4.46868e-25     1446.503 
   219.355012  3.07170e-22       34.438 
   219.494181  5.40231e-28     2500.592 
   220.451860  2.92671e-23      462.450 
   221.114895  2.71506e-22      164.876 
   221.326438  3.04284e-24     1014.351 
   221.735714  1.76962e-22       56.859 
   223.179729  1.44105e-27     2285.688 
   224.847684  1.28050e-24     1220.877 
   225.298371  1.20859e-27     2439.219 
   225.583136  2.27342e-24      228.533 
   227.031882  2.64167e-22       57.123 
   227.150116  4.03069e-28     2971.600 
   229.252862  1.84450e-27     2644.981 
   229.290461  6.03364e-28     2915.426 
   229.857630  8.48163e-23        5.311 
   229.866226  3.50654e-24       83.781 
   229.888279  3.73146e-24      104.865 
   229.986756  1.63523e-23      631.573 
   230.588737  3.54225e-28     2611.353 
   230.933360  1.14046e-23       28.220 
   231.130479  7.66266e-27     2337.188 
   231.516241  2.74018e-27     2591.919 
   232.784487  2.88788e-26     2048.274 
   233.296402  3.64065e-23       68.450 
   233.768068  1.13287e-26     2287.259 
   234.215378  9.86460e-26     1778.288 
   234.235879  1.08888e-26     1857.771 
   235.004014  4.96912e-23      127.933 
   235.422563  3.04986e-25     1527.276 
   235.605928  7.20741e-27     1953.621 
   235.927502  1.09794e-22        8.270 
   235.951920  2.40702e-22       42.076 
   236.023284  1.76068e-23      585.365 
   236.225095  1.33622e-22      136.157 
   236.295679  4.98287e-23      206.661 
   236.404150  8.52470e-25     1295.280 
   236.428768  3.80522e-24      128.271 
   236.516213  4.27838e-26     2001.498 
   236.871399  3.04775e-24       65.014 
   237.156811  2.14971e-24     1082.341 
   237.169111  4.10941e-23      304.627 
   237.521022  2.95583e-22      271.518 
   237.674874  4.87842e-24      888.493 
   237.721817  2.90991e-23      421.813 
   237.950760  9.93297e-24      713.771 
   237.970982  1.80542e-23      558.202 
   238.626418  1.45975e-25     1734.686 
   240.413382  6.93872e-24      857.802 
   240.636334  2.53851e-27     2181.507 
   241.509046  2.36908e-22       82.513 
   241.538467  3.96442e-24      817.693 
   241.894765  8.08499e-24      826.887 
   241.985451  2.03554e-22       29.724 
   242.466986  2.21503e-24      441.503 
   242.476809  1.71545e-26     1764.131 
   242.796914  1.26788e-24     1258.084 
   243.235438  4.61508e-25     1486.862 
   243.935959  2.00484e-22      104.865 
   244.481519  4.66530e-22       56.859 
   245.178723  2.09884e-22       74.335 
   245.283107  4.94743e-27     2051.699 
   245.302241  1.53031e-22       20.038 
   246.155926  3.12018e-28     2642.085 
   246.367932  6.05033e-28     2916.860 
   246.686120  8.91003e-23       12.979 
   247.127392  4.99896e-23       10.415 
   247.440300  1.23788e-22       16.140 
   248.211427  6.53400e-26     1473.355 
   248.364769  1.84408e-22       24.398 
   248.572293  2.38550e-28     2724.340 
   248.579422  2.72257e-27     2593.385 
   248.698697  4.59917e-22       48.564 
   248.779693  9.34930e-26     1390.258 
   248.855711  3.79122e-24      154.002 
   249.099201  3.07808e-22      318.295 
   249.301328  1.30641e-23      714.762 
   250.156050  5.45104e-24       24.394 
   250.215249  5.53579e-28     2972.152 
   250.358383  2.37727e-22       35.180 
   250.556706  1.11219e-26     2288.743 
   251.176571  2.31515e-24       48.564 
   251.438057  5.77669e-24      225.946 
   251.639927  5.39485e-24      259.927 
   251.758323  2.78791e-22      359.653 
   252.300492  4.12078e-26     2002.987 
   252.615372  3.47200e-23       61.430 
   252.638148  2.55317e-27     2645.518 
   253.429716  1.48621e-23      639.244 
   253.810400  1.38350e-25     1736.166 
   253.936317  2.85285e-22       48.472 
   254.277635  3.45366e-22      279.441 
   254.516776  5.34908e-23      117.712 
   254.568879  1.04708e-24      722.486 
   255.055541  5.42225e-28     2520.981 
   255.084867  4.20222e-25     1488.326 
   255.387281  1.07468e-26     2337.722 
   255.575629  3.41412e-26     1803.113 
   255.892296  5.67779e-23      193.241 
   256.065705  4.70738e-26     1558.693 
   256.120982  1.15366e-24     1259.508 
   256.213306  3.52760e-24     1048.352 
   256.864332  4.86272e-23      288.005 
   256.914059  2.85548e-24     1049.751 
   257.069472  3.98455e-25     1060.159 
   257.457395  6.35593e-24      859.091 
   257.466733  3.54470e-23      401.993 
   257.480708  7.10034e-24      755.391 
   257.740798  1.26788e-23      687.559 
   257.751242  2.25465e-23      535.184 
   257.898510  4.10657e-26     2048.818 
   258.889597  4.98976e-24      296.216 
   259.008045  1.38095e-25     1309.387 
   259.022529  6.04337e-24      194.264 
   259.617203  3.27702e-22       64.256 
   259.788523  5.37501e-25      989.864 
   260.326944  3.13602e-22      194.264 
   260.474131  4.02976e-24      436.205 
   261.120365  1.10022e-23      695.911 
   261.569702  1.59801e-24      714.353 
